Words,Labels
"['Stabilized', 'approach', 'or', 'not', '?']","['O', 'O', 'O', 'O', 'O']"
"['That', '´', 's', 'insane', 'and', 'good', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['You', 'should', ""'"", 've', 'stayed', 'on', 'Redondo', 'Beach', 'Blvd', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O']"
"['you', 'were', 'in', 'the', 'borderlines', 'of', 'Gardena', '/', 'Compton', 'All', 'I', ""'"", 've', 'been', 'doing', 'is', 'BINGE', 'watching', 'Rick', 'and', 'Morty', '😂', 'wow', 'emma', 'and', 'kaite', 'is', 'so', 'very', 'cute', 'and', 'so', 'funny', '😀', '😀', '😀', '😗', '😘', 'i', 'wish', 'im', 'ryan', '😭', '😭', '😭', 'THIS', 'IS', 'SO', 'GOOD', 'trump', 'is', 'the', 'Kremlin', ""'"", 's', 'boy', 'Hobby', 'frog', 'is', 'a', 'savege', 'creepy', 'AF', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O']"
"['lol', 'These', 'trap', 'came', 'from', 'Taiwan', '.']","['O', 'O', 'O', 'O', 'O', 'B-location', 'O']"
"['Idiot', 'needs', 'to', 'be', 'punched', 'in', 'the', 'throat', ',', 'he', 'has', 'no', 'business', 'with', 'a', 'kitten', 'or', 'a', 'baby', ',', 'a', 'donkey', 'punch', 'to', 'the', 'back', 'of', 'his', 'head', 'is', 'warranted', 'as', 'well', ',', 'fucking', 'moron', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mine', 'is', 'a', 'skin', 'product', 'but', 'I', 'never', 'need', 'any', 'moisturizer', 'or', 'primer', 'in', 'the', 'morning', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', ""'"", 's', 'called', 'HA', '5', '.']","['O', 'O', 'O', 'O', 'B-product', 'I-product', 'O']"
"['It', ""'"", 's', 'amazing', '.']","['O', 'O', 'O', 'O', 'O']"
"['Takes', 'my', 'dark', 'circles', 'and', 'puffiness', 'away', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Makeup', 'lays', 'beautiful', 'over', 'it', '!']","['O', 'O', 'O', 'O', 'O', 'O']"
"['Had', 'to', 'mute', 'this', 'because', 'she', 'sounds', 'so', 'dumb', 'Warriors', 'looked', 'a', 'little', 'bored', ',', 'gave', 'a', 'c', 'plus', 'effort', 'and', 'got', 'the', 'win', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['This', 'should', 'be', 'short', 'and', 'sweet', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Wow', 'smh', 'envy', 'nails', 'are', 'so', 'clean', 'and', 'long', ',', 'thought', 'they', 'were', 'fake', 'Everyday', 'I', ""'"", 'm', 'more', 'and', 'more', 'thankful', 'that', 'Hillary', 'Clinton', 'will', 'never', 'be', 'president', 'I', 'wo', 'n', ""'"", 't', 'support', 'for', 'Donald', 'trump', 'if', 'I', 'get', '5', 'likes', 'Ca', 'n', ""'"", 't', 'watch', 'this', 'nearly', 'enough', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
"['Much', 'love', 'to', 'your', 'lost', 'one', '<', '3', 'I', ""'"", 'm', 'getting', 'a', 'garbage', ',', 'Kylie', 'minogue', 'feel', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O']"
['.'],['O']
['.'],['O']
"['I', 'love', 'it', 'thanks', 'for', 'colors', 'superheroes', 'kids', 'videos', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[')', 'Like', 'learn', 'Colors', 'and', 'Numbers', '!']","['O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'I-creative-work', 'O']"
"[')', '💙', '💙', '💙', '12', ':', '46', 'is', 'it', 'just', 'me', 'who', 'thought', 'that', 'MaryJs', 'protégé', 'look', 'alike', 'in', 'the', 'audience', 'is', 'a', 'dude', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Sorry', 'if', 'she', 'ain', ""'"", 't', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Watched', 'your', 'video', '!']","['O', 'O', 'O', 'O']"
"['Great', 'work', '!']","['O', 'O', 'O']"
"['Thumbs', 'up', '!']","['O', 'O', 'O']"
['!'],['O']
['!'],['O']
"['Welcome', 'to', 'my', 'channel', '!']","['O', 'O', 'O', 'O', 'O']"
"['Kenny', ',', 'you', 'need', 'to', 'get', 'back', 'to', 'your', 'roots', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'is', 'crap', '.']","['O', 'O', 'O', 'O']"
"['Leave', 'the', 'politics', 'to', 'the', 'politicians', 'and', 'start', 'producing', 'country', 'music', 'again', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
